name,scientific_name,description,image_url,rarity,card_image_url
Volcano rabbit,Romerolagus diazi,"The volcano rabbit, also known as teporingo or zacatuche, is a small rabbit that resides in the mountains of Mexico.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Romerolagus_diazi_.jpg/640px-Romerolagus_diazi_.jpg,rare,/img/Romerolagus_diazi.png
Ocelot,Leopardus pardalis,The ocelot is a medium-sized spotted wild cat that reaches 40–50 cm at the shoulders and weighs between 7 and 15.5 kg on average.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Ocelot_%28Jaguatirica%29_Zoo_Itatiba.jpg/1556px-Ocelot_%28Jaguatirica%29_Zoo_Itatiba.jpg?20160422054443,common,/img/Leopardus_pardalis.png
Quetzal,Pharomachrus mocinno,"These animals live in tropical forests, particularly montane cloud forests and they are part of the family Trogonidae.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Quetzal_at_Biotopo_del_Quetzal_in_Baja_Verapaz%2C_Guatemala.jpg/640px-Quetzal_at_Biotopo_del_Quetzal_in_Baja_Verapaz%2C_Guatemala.jpg,common,/img/Pharomachrus_mocinno.png
Greater Roadrunner,Geococcyx californianus,"The greater roadrunner is a long-legged bird in the cuckoo family, Cuculidae, from Southwestern United States and Mexico. The Latin name means ""Californian earth-cuckoo"".",https://upload.wikimedia.org/wikipedia/commons/4/41/Geococcyx_californianus_189954458.jpg,common,/img/Geococcyx_californianus.png
Spider monkey,Ateles geoffroyi,Is an adorable little creature with large eyes and gangly limbs. It’s native to the regions of Mexico that boast tropical rainforests and woodland.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Yucatan_Spider_Monkey_near_Lamanai%2C_Belize_%282016%29._Photograph_by_Ithaka_Darin_Pappas.jpg/640px-Yucatan_Spider_Monkey_near_Lamanai%2C_Belize_%282016%29._Photograph_by_Ithaka_Darin_Pappas.jpg,common,/img/Ateles_geoffroyi.png
Cacomistle,Bassariscus sumichrasti,Native Mexican mammal that is similar in appearance to a monkey crossed with a cat and a raccoon.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Bassariscus_sumichrasti_geo.jpg/1600px-Bassariscus_sumichrasti_geo.jpg?20080207005224,common,/img/Bassariscus_sumichrasti.png
Coati,Procyonidae Nasua,"Members of the raccoon family, the coati is a pretty cute-looking animal with a long nose, distinctive markings and strong double-jointed limbs.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/A_White-nosed_Coati.jpg/640px-A_White-nosed_Coati.jpg,common,/img/Procyonidae_Nasua.png
Xolo,Canis lupus familiaris,"An icon of Mexico, these odd-looking hairless dogs are typically black in color, although often they have patches of white skin.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/XoloLarge1.jpg/640px-XoloLarge1.jpg,common,/img/Canis_lupus_familiaris.png
Whale shark,Rhincodon typus,"The whale shark is a slow-moving, filter-feeding carpet shark and the largest known extant fish species.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Rhincodon_typus_fgbnms.jpg/640px-Rhincodon_typus_fgbnms.jpg,common,/img/Rhincodon_typus.png
Achilles Tang,Acanthurus achilles,"Acanthurus achilles, commonly known as Achilles tang or Achilles surgeonfish, is a tropical marine fish native to the Pacific Ocean.",https://upload.wikimedia.org/wikipedia/commons/d/da/Acanthurus_achilles.jpg,common,/img/Acanthurus_achilles.png
Cenzontle,Mimus polyglottos,The northern mockingbird is a mockingbird commonly found in North America,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Northern_Mockingbird%2C_Loxahatchee.JPG/640px-Northern_Mockingbird%2C_Loxahatchee.JPG,common,/img/Mimus_polyglottos.png
Mexican Redknee Tarantula,Brachypelma hamorii,Mexican redknee tarantula is one of the largest species of terrestrial tarantula and are found in the mountain ranges of Mexico. It’s most well known for its hairy body with beautiful red stripes along its legs.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Brachypelma_smithi_2009_G09.jpg/1500px-Brachypelma_smithi_2009_G09.jpg?20150508165809,common,/img/Brachypelma_hamorii.png
Mexican Hornshark,Heterodontus mexicanus,"The Mexican hornshark is a bullhead shark of the family Heterodontidae. This shark is grey-brown in color, with black spots scattered on the fins and body.",https://media.kidadl.com/60d0aa41fb6fbc1e5518008f_mexican_hornshark_facts_about_a_bullhead_shark_of_the_family_7c8325bc28.jpg,common,/img/Heterodontus_mexicanus.png
Common Goldeneye,Bucephala clangula,"The common goldeneye (Bucephala clangula) is a medium-sized sea duck of the genus Bucephala, the goldeneyes. Its closest relative is the similar Barrow's goldeneye. The genus name is derived from Ancient Greek boukephalos, ""bullheaded"", from bous, ""bull "" and kephale, ""head"", a reference to the bulbous head shape of the bufflehead. The species name is derived from Latin clangere, ""to resound"".",https://upload.wikimedia.org/wikipedia/commons/3/34/Common_Goldeneye_%28Bucephala_clangula%29.jpg,common,/img/Bucephala_clangula.png
Opossum,Didelphidae,"The animals use the prehensile tail as a fifth limb when climbing, but also to dangle in trees and to carry bunches of leaves or bedding materials for the nest.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Opossum_2.jpg/640px-Opossum_2.jpg,common,/img/Didelphidae.png
Armadillo,Dasypodidae,"They have a hard outer shell that covers their heads, upper parts of their bodies and tail. When feeling threatened they curl up into a hard ball leaving no soft body parts exposed.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Nine-banded_Armadillo.jpg/1599px-Nine-banded_Armadillo.jpg?20170615182855,common,/img/Dasypodidae.png
Cuatro Cienegas Slider,Trachemys taylori,The Cuatro Ciénegas slider is a species of turtle belonging to the genus Trachemys of the family Emydidae.,https://upload.wikimedia.org/wikipedia/commons/6/6c/Amphibians-and-reptiles-of-the-state-of-Coahuila-Mexico-with-comparison-with-adjoining-states-zookeys-593-117-g003.jpg,common,/img/Trachemys_taylori.png
Brown Basilisk,Basiliscus vittatus,"The brown basilisk or striped basilisk is one species of basilisk lizard. They are native to Mexico, Central America and adjacent northwestern Colombia, but have been introduced into the U.S. state of Florida as a feral species.",https://upload.wikimedia.org/wikipedia/commons/2/28/Brown_Basilisk_%28Basiliscus_vittatus%29_male_..._%2852385388007%29.jpg,common,/img/Basiliscus_vittatus.png
Sonoran Collared Lizard,Crotaphytus nebrius,"The Sonoran collared lizard, Crotaphytus nebrius, is a collared lizard found in Arizona and Mexico. The lizard is a grayish-yellow with grayish-white spots, which are large down the middle of the body, and small on the sides.",https://upload.wikimedia.org/wikipedia/commons/9/97/Crotaphytus_nebrius_71083611.jpg,common,/img/Crotaphytus_nebrius.png
Black-Spotted Newt,Notophthalmus meridionalis,"The black-spotted newt or Texas newt, Notophthalmus meridionalis, is a species of aquatic newt native to northeastern Mexico and southern Texas in the United States.",https://upload.wikimedia.org/wikipedia/commons/3/3d/Black-spotted_Newt_%28Notophthalmus_meridionalis%29%2C_Santa_Ana_NWR%2C_Hidalgo_Co%2C_TX%2C_USA%2C_%2826.0821%C2%B0N%2C_98.1354%C2%B0W%29%2C_14_April_2016.jpg,common,/img/Notophthalmus_meridionalis.png
Minute Thorius,Thorius minydemus,"The La Hoya minute salamander is a species of salamander in the family Plethodontidae. It is endemic to Mexico and only known from near its type locality near La Joya, Veracruz. Its natural habitats are cloud and pine-oak forests with many bromeliads. The species is threatened by habitat loss and may already be extinct.",https://inaturalist-open-data.s3.amazonaws.com/photos/203963/original.jpg,common,/img/Thorius_minydemus.png
Zapotec Salamander,Bolitoglossa zapoteca,The Zapotec Salamander is a species of salamander in the family Plethodontidae. It is endemic to Mexico. Its natural habitats are subtropical or tropical moist montane forests and heavily degraded former forest. It is threatened by habitat loss.,https://upload.wikimedia.org/wikipedia/commons/9/98/Bolitoglossa_zapoteca_12562338.jpg,common,/img/Bolitoglossa_zapoteca.png
West Mexican Chachalaca,Ortalis poliocephala,"The West Mexican chachalaca  is a species of bird in the Cracidae family. It is found only in Mexico, more specifically in Pacific-slope (and adjacent interior) thorn forest from Jalisco to Oaxaca.",https://upload.wikimedia.org/wikipedia/commons/2/2c/WestMexicanChachalaca.JPG,common,/img/Ortalis_poliocephala.png
Guadalupe Storm Petrel,Oceanodroma macrodactyla,The Guadalupe storm petrel is a small seabird of the storm petrel family Hydrobatidae. It is apparently extinct.,https://upload.wikimedia.org/wikipedia/commons/0/09/Lesp1.jpg,common,/img/Oceanodroma_macrodactyla.png
Magnificent Frigatebird,Fregata magnificens,"The magnificent frigatebird is a seabird of the frigatebird family Fregatidae. With a length of 89–114 centimetres (35–45 in) it is the largest species of frigatebird. It occurs over tropical and subtropical waters off America, between northern Mexico and Ecuador on the Pacific coast and between Florida and southern Brazil along the Atlantic coast.",https://upload.wikimedia.org/wikipedia/commons/e/e4/Fregata_magnificens_-Galapagos%2C_Ecuador_-male-8_%281%29.jpg,common,/img/Fregata_magnificens.png
Blue-Footed Booby,Sula nebouxii,The blue-footed booby is a marine bird native to subtropical and tropical regions of the eastern Pacific Ocean. It is one of six species of the genus Sula – known as boobies.,https://upload.wikimedia.org/wikipedia/commons/3/3b/Blue-footed-booby.jpg,common,/img/Sula_nebouxii.png
Yucatan Mushroomtongue Salamander,Bolitoglossa yucatana,"The Yucatán mushroomtongue salamander or Yucatán salamander is a species of salamander in the family Plethodontidae. It is found in the Yucatan Peninsula of Mexico and extreme northern Belize, possibly reaching into Guatemala.",https://upload.wikimedia.org/wikipedia/commons/c/c1/Bolitoglossa_yucatana_%284617863268%29.jpg,common,/img/Bolitoglossa_yucatana.png
Great white shark,Carcharodon carcharias,"The great white shark  also known as the great white, white pointer, white shark, or white death, is a species of large mackerel shark which can be found in the coastal surface waters of all the major oceans. ",https://upload.wikimedia.org/wikipedia/commons/e/e5/White_shark_%28cropped%29.jpg,common,/img/Carcharodon_carcharias.png
Mexican Gray Squirrel,Sciurus aureogaster,The Mexican gray squirrel is a tree squirrel in the genus Sciurus native to Guatemala and eastern and southern Mexico.,https://upload.wikimedia.org/wikipedia/commons/1/16/Ardilla_gris_mexicana.JPG,common,/img/Sciurus_aureogaster.png
Desert Kangaroo Rat,Dipodomys deserti,The desert kangaroo rat is a rodent species in the family Heteromyidae that is found in desert areas of southwestern North America.,https://upload.wikimedia.org/wikipedia/commons/7/70/Merriam%27s_Kangaroo_Rat%2C_Chihuahuan_Desert%2C_New_Mexico.jpg,common,/img/Dipodomys_deserti.png
Mexican Cottontail,Sylvilagus cunicularius,"The Mexican cottontail is a species of cottontail rabbit in the family Leporidae. It is endemic to Mexico where its natural habitats are temperate forests, subtropical or tropical dry forests and pastureland.",https://content.eol.org/data/media/3a/73/15/18.https___www_inaturalist_org_photos_4080938.jpg,common,/img/Sylvilagus_cunicularius.png
Cougar,Puma concolor,"The cougar also commonly known as the mountain lion, puma, panther, or catamount, is a large felid of the subfamily Felinae native to the Americas. Its range, from the Canadian Yukon to the southern Andes of South America, is the most widespread of any large wild terrestrial mammal in the Western Hemisphere.",https://upload.wikimedia.org/wikipedia/commons/1/1b/Puma_concolor_coryi_1.jpg,common,/img/Puma_concolor.png
Silky Anteater,Cyclopes didactylus,"The silky anteater, or pygmy anteater, (Cyclopes didactylus) is a species of anteaters from Central and South America, the only living species in the genus Cyclopes and the family Cyclopedidae. A single extinct cyclopedid genus, Palaeomyrmidon, known from the Miocene of Argentina, may be ancestral to the living species.",https://upload.wikimedia.org/wikipedia/commons/5/54/Silky_Anteater.jpg,common,/img/Cyclopes_didactylus.png
Puffer,Sphoeroides lobatus,"Longnose puffer, Sphoeroides lobatus, is a species in the family Tetraodontidae, or pufferfishes. It occurs in shallow coastal waters of the Eastern Pacific from California to Chile, including the Galapagos Islands.",https://upload.wikimedia.org/wikipedia/commons/9/92/Longnose_Puffer_-_Sphoeroides_lobatus.jpg,common,/img/Sphoeroides_lobatus.png
Great Spreadwing,Archilestes grandis,The great spreadwing (Archilestes grandis) is a damselfly in the family Lestidae. When great spreadwings are startled they often return to the same perch or a perch nearby.,https://upload.wikimedia.org/wikipedia/commons/7/70/Great_spreadwing_%2821929651611%29.jpg,common,/img/Archilestes_grandis.png
Serrated Casquehead Iguana,Laemanctus serratus,"Laemanctus serratus, also known commonly as the serrated casquehead iguana, is a species of lizard in the family Corytophanidae. The species is native to southeastern Mexico and Central America. There are two recognized subspecies.",https://upload.wikimedia.org/wikipedia/commons/3/31/Laemanctus_serratus_131995183.jpg,common,/img/Laemanctus_serratus.png
